country_code,subdivision,data_name,epsg,datum,resolution,resolution_unit,format,cost_model,download_link,product_link,license_link,wcs_link
GB-ENG,England,Defra Survey Data,EPSG:27700 ,,1,meter,GeoTIFF,free,https://environment.data.gov.uk/survey,,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-1m/wcs?request=GetCapabilities&service=WCS&version=2.0.1
GB-SCT,Scotland,The Scottish Public Sector LiDAR,EPSG:27700 ,,1,meter,GeoTIFF,free,https://remotesensingdata.gov.scot/data#/map,https://remotesensingdata.gov.scot/data#/list,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
FIN,,Korkeusmalli 2 m,EPSG:3067,,2,meter,GeoTIFF,free,https://asiointi.maanmittauslaitos.fi/karttapaikka/tiedostopalvelu/korkeusmalli?lang=en,https://www.maanmittauslaitos.fi/en/maps-and-spatial-data/datasets-and-interfaces/product-descriptions/elevation-model-2-m,https://www.maanmittauslaitos.fi/en/maps-and-spatial-data/datasets-and-interfaces/product-descriptions/elevation-model-2-m,https://avoin-karttakuva.maanmittauslaitos.fi/ortokuvat-ja-korkeusmallit/wcs/v2?service=WCS&request=GetCapabilities
ESP,,Total ficheros Modelo Digital del Terreno – MDT02,Various,,2,meter,COG,free,https://centrodedescargas.cnig.es/CentroDescargas/modelo-digital-terreno-mdt02-segunda-cobertura,https://www.idee.es/csw-inspire-idee/srv/spa/catalog.search?#/metadata/spaignMDT02,https://centrodedescargas.cnig.es/CentroDescargas/modelo-digital-terreno-mdt02-segunda-cobertura#licencias,
CHE,,swissALTI3D,LV95,LN02,0.5,meter,COG,free,https://www.swisstopo.admin.ch/en/height-model-swissalti3d#swissALTI3D---Download,https://www.swisstopo.admin.ch/en/height-model-swissalti3d,https://www.swisstopo.admin.ch/en/terms-of-use-free-geodata-and-geoservices,
NOR,,Høyde DOM1,UTM33N,,1,meter,GeoTIFF,free,https://hoydedata.no/LaserInnsyn2,https://kartkatalog.geonorge.no/metadata/hoeyde-dom1/35e66707-942c-4aa2-9945-d769c2aeba35,Creative Commons BY 4.0 (CC BY 4.0),
FRA,,RGE ALTI,Various,,1,meter,ASCII Grid,free,https://geoservices.ign.fr/rgealti,https://geoservices.ign.fr/documentation/donnees/alti/rgealti,,
POL,,Numeryczny Model Terenu - GeoTIFF,EPSG:2180,PL-KRON86-NH,1,meter,GeoTIFF,free,https://mapy.geoportal.gov.pl,https://www.geoportal.gov.pl/pl/dane/numeryczny-model-pokrycia-terenu-nmpt/,https://isap.sejm.gov.pl/isap.nsf/DocDetails.xsp?id=WDU19890300163,https://mapy.geoportal.gov.pl/wss/service/PZGIK/NMT/GRID1/WCS/DigitalTerrainModelFormatTIFF
SWE,,GRID,SWEREF99,RH 2000,1,meter,,Free account for STAC API,https://geotorget.lantmateriet.se/geodataprodukter/markhojdmodell-nedladdning-api,https://www.lantmateriet.se/globalassets/geodata/geodataprodukter/anvandningsvillkor_for_vardefulla_datamangder.pdf,Creative Commons BY 4.0 (CC BY 4.0),
USA,,3D Elevation Program (3DEP) 1-Meter DEM,UTM,NAVD88,1,meter,GeoTIFF,free,https://apps.nationalmap.gov/downloader/#/,https://www.usgs.gov/3d-elevation-program/about-3dep-products-services,"Public domain, for citation see: https://www.usgs.gov/faqs/how-should-i-cite-datasets-and-services-national-map",
DNK,,Danmarks Højdemodel – Terræn,UTM32N,,0.4,meter,GeoTIFF,Account required,https://dataforsyningen.dk/data/930,https://dataforsyningen.dk/data/930,Creative Commons BY 4.0 (CC BY 4.0),https://api.dataforsyningen.dk/dhm_wcs_DAF?service=WCS&request=GetCapabilities
